=== BIT-TAPE INVENTOR ===
generations=10000 seed=0xB17BE17BE17BE17B pop_size=64 tournament=5 elite=2 mut_rate=0.70 xover_rate=0.50
gen 0 init: best_composite=-283.7431 avalanche=0.78 balance=29.92 chisq=1371.50 period=1024 used=161
gen 1980/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=41.44
gen 1990/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=40.17
gen 2000/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=46.68
gen 2010/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=42.14
gen 2020/10000: best_composite=50.0000 av=32.00 bal=32.00 chisq=240.50 per=1024 used=382 mean_comp=44.70
gen 2030/10000: best_composite=50.0000 av=32.00 bal=32.00 chisq=240.50 per=1024 used=382 mean_comp=45.59
gen 2040/10000: best_composite=50.0000 av=32.00 bal=32.00 chisq=240.50 per=1024 used=382 mean_comp=45.87
gen 2050/10000: best_composite=50.0000 av=32.00 bal=32.00 chisq=240.50 per=1024 used=382 mean_comp=47.33
gen 2060/10000: best_composite=50.0000 av=32.00 bal=32.00 chisq=240.50 per=1024 used=382 mean_comp=45.77
gen 2070/10000: best_composite=50.0000 av=32.00 bal=32.00 chisq=240.50 per=1024 used=382 mean_comp=44.32
gen 2080/10000: best_composite=50.0000 av=32.00 bal=32.00 chisq=240.50 per=1024 used=382 mean_comp=43.10
gen 2090/10000: best_composite=50.0000 av=32.00 bal=32.00 chisq=240.50 per=1024 used=382 mean_comp=42.63
gen 2100/10000: best_composite=50.0000 av=32.00 bal=32.00 chisq=240.50 per=1024 used=382 mean_comp=42.37
gen 2110/10000: best_composite=50.0000 av=32.00 bal=32.00 chisq=240.50 per=1024 used=382 mean_comp=43.29
gen 2120/10000: best_composite=50.0000 av=32.00 bal=32.00 chisq=240.50 per=1024 used=382 mean_comp=42.64
gen 2130/10000: best_composite=50.0000 av=32.00 bal=32.00 chisq=240.50 per=1024 used=382 mean_comp=45.20
gen 2140/10000: best_composite=50.0000 av=32.00 bal=32.00 chisq=240.50 per=1024 used=382 mean_comp=45.03
gen 2150/10000: best_composite=50.0000 av=32.00 bal=32.00 chisq=240.50 per=1024 used=382 mean_comp=39.61
gen 2160/10000: best_composite=50.0000 av=32.00 bal=32.00 chisq=240.50 per=1024 used=382 mean_comp=45.49
gen 2170/10000: best_composite=50.0000 av=32.00 bal=32.00 chisq=240.50 per=1024 used=382 mean_comp=44.89
gen 2180/10000: best_composite=50.0000 av=32.00 bal=32.00 chisq=240.50 per=1024 used=382 mean_comp=45.89
gen 2190/10000: best_composite=50.0000 av=32.00 bal=32.00 chisq=240.50 per=1024 used=382 mean_comp=41.48
gen 2200/10000: best_composite=50.0000 av=32.00 bal=32.00 chisq=240.50 per=1024 used=382 mean_comp=45.27
