phase,label,seed,atom_idx,length,agree1,agree2,agree3,flag,extra
phase1,classify,0x9E3779B9800B7C03,130,18,0.415179,0.433036,0.473214,0,GENUINELY_NON_HUMAN;ops=a_or+a_mul+a_shr+a_popcnt+a_mum+a_eq+a_sel
phase1,classify,0x3C6EF372FF55F818,131,2,0.397321,0.468750,0.504464,0,GENUINELY_NON_HUMAN;ops=a_rotr+a_bswap
phase1,classify,0x3C6EF372FF55F818,132,3,0.370536,0.446429,0.500000,0,GENUINELY_NON_HUMAN;ops=a_rotr
phase1,classify,0x3C6EF372FF55F818,133,3,0.892857,0.785714,0.687500,0,ALIEN_DECORATIVE;ops=a_mul
phase1,classify,0x3C6EF372FF55F818,134,4,0.285714,0.290179,0.357143,0,GENUINELY_NON_HUMAN;ops=a_shl+a_popcnt+a_eq
phase1,classify,0x3C6EF372FF55F818,135,4,0.339286,0.392857,0.446429,0,GENUINELY_NON_HUMAN;ops=a_rotr+a_eq
phase1,classify,0x3C6EF372FF55F818,136,4,0.370536,0.419643,0.459821,0,GENUINELY_NON_HUMAN;ops=a_sub+a_rotr
phase1,classify,0x3C6EF372FF55F818,137,5,0.375000,0.433036,0.482143,0,GENUINELY_NON_HUMAN;ops=a_or+a_rotr+a_eq
phase1,classify,0x3C6EF372FF55F818,138,5,0.602679,0.772321,0.879464,0,ALIEN_DECORATIVE;ops=a_or+a_rotr+a_popcnt
phase1,classify,0x3C6EF372FF55F818,139,6,0.285714,0.330357,0.401786,0,GENUINELY_NON_HUMAN;ops=a_or+a_rotr+a_eq
phase1,classify,0x3C6EF372FF55F818,140,6,0.602679,0.772321,0.879464,0,ALIEN_DECORATIVE;ops=a_or+a_rotr+a_eq
phase1,classify,0x3C6EF372FF55F818,141,6,0.602679,0.772321,0.879464,0,ALIEN_DECORATIVE;ops=a_mul+a_shr+a_rotr+a_eq
phase1,classify,0x3C6EF372FF55F818,142,6,0.290179,0.558036,0.522321,0,GENUINELY_NON_HUMAN;ops=a_rotr+a_mum
phase1,classify,0x3C6EF372FF55F818,143,7,0.549107,0.549107,0.544643,0,GENUINELY_NON_HUMAN;ops=a_and+a_or+a_mul+a_bswap+a_sel
phase1,classify,0x3C6EF372FF55F818,144,7,0.513393,0.477679,0.441964,0,GENUINELY_NON_HUMAN;ops=a_and+a_or+a_popcnt+a_bswap+a_sel
phase1,classify,0x3C6EF372FF55F818,145,7,0.348214,0.415179,0.459821,0,GENUINELY_NON_HUMAN;ops=a_shl+a_mum+a_eq
