row,policy,opaque_id,phase,tool_hash,program_hash,payload_hash,schema_hash,builds,actions,probes,status,detail
receipt,broad_fixed,848aa5bfd2ce8b86,holdout,2513f85d64cb1bda,5bafd6bd981fedf8,8fd1b9c09ccb14b8,d53bd3a187721a8,2,3,3,rejected,typed_canonical
receipt,broad_fixed,848aa5bfd2ce8b86,holdout,e0ff2587dbccd344,1bc903704d0b2b1a,8fd1b9c09ccb14b8,cd0b57c3d461cc32,3,4,4,rejected,typed_canonical
budget,broad_fixed,848aa5bfd2ce8b86,holdout,-,-,8fd1b9c09ccb14b8,-,2048,2048,2048,charged_exact,active_builds=3;active_actions=4;active_probes=4
receipt,broad_fixed,68dd9a739da2fe,holdout,4e9640b247c85a05,58967315222620f1,b33c1e53d983dc1,10aaebf672bc000a,1,1,1,rejected,typed_canonical
receipt,broad_fixed,68dd9a739da2fe,holdout,2513f85d64cb1bda,95d55634c06adf62,b33c1e53d983dc1,cd0b57c3d461cc32,2,2,2,rejected,typed_canonical
receipt,broad_fixed,68dd9a739da2fe,holdout,2513f85d64cb1bda,5bafd6bd981fedf8,b33c1e53d983dc1,d53bd3a187721a8,2,3,3,rejected,typed_canonical
receipt,broad_fixed,68dd9a739da2fe,holdout,e0ff2587dbccd344,1bc903704d0b2b1a,b33c1e53d983dc1,cd0b57c3d461cc32,3,4,4,rejected,typed_canonical
budget,broad_fixed,68dd9a739da2fe,holdout,-,-,b33c1e53d983dc1,-,2048,2048,2048,charged_exact,active_builds=3;active_actions=4;active_probes=4
receipt,broad_fixed,a26f14f027946b87,holdout,4e9640b247c85a05,58967315222620f1,a934088f6991f4bb,10aaebf672bc000a,1,1,1,rejected,typed_canonical
receipt,broad_fixed,a26f14f027946b87,holdout,2513f85d64cb1bda,95d55634c06adf62,a934088f6991f4bb,cd0b57c3d461cc32,2,2,2,rejected,typed_canonical
receipt,broad_fixed,a26f14f027946b87,holdout,2513f85d64cb1bda,5bafd6bd981fedf8,a934088f6991f4bb,d53bd3a187721a8,2,3,3,rejected,typed_canonical
