N,method,evals,best_E,best_F
25,tabu,26,236,1.324153
25,tabu,51,136,2.297794
25,tabu,76,88,3.551136
25,tabu,101,64,4.882813
25,tabu,3751,52,6.009615
25,tabu,15326,44,7.102273
25,tabu,212181,36,8.680556
25,final,26000011,36,8.680556
26,tabu,1,333,1.015015
26,tabu,27,197,1.715736
26,tabu,53,141,2.397163
26,tabu,79,125,2.704000
26,tabu,131,109,3.100917
26,tabu,209,93,3.634409
26,tabu,339,85,3.976471
26,tabu,573,61,5.540984
26,tabu,15159,53,6.377358
26,tabu,32579,45,7.511111
26,final,20000004,45,7.511111
27,tabu,1,253,1.440711
27,tabu,28,145,2.513793
27,tabu,55,125,2.916000
27,tabu,109,109,3.344037
27,tabu,163,101,3.608911
27,tabu,298,89,4.095506
27,tabu,730,85,4.288235
27,tabu,757,69,5.282609
27,tabu,7696,65,5.607692
27,tabu,29863,61,5.975410
27,tabu,52030,53,6.877358
27,tabu,62506,37,9.851351
27,final,26000011,37,9.851351
28,tabu,1,306,1.281046
28,tabu,29,150,2.613333
28,tabu,57,122,3.213115
28,tabu,141,110,3.563636
28,tabu,225,106,3.698113
28,tabu,533,102,3.843137
28,tabu,1289,82,4.780488
28,tabu,4733,78,5.025641
28,tabu,28533,70,5.600000
28,tabu,55217,66,5.939394
28,tabu,194435,58,6.758621
28,tabu,194827,50,7.840000
28,final,20000011,50,7.840000
29,tabu,1,638,0.659091
29,tabu,30,378,1.112434
29,tabu,59,254,1.655512
29,tabu,88,166,2.533133
29,tabu,117,102,4.122549
29,tabu,146,78,5.391026
29,tabu,1567,70,6.007143
29,tabu,211241,66,6.371212
29,tabu,270605,62,6.782258
29,final,26000019,62,6.782258
30,tabu,1,283,1.590106
30,tabu,31,203,2.216749
30,tabu,61,163,2.760736
30,tabu,91,123,3.658537
30,tabu,451,115,3.913043
30,tabu,481,107,4.205607
30,tabu,1441,99,4.545455
30,tabu,1501,91,4.945055
30,tabu,10801,75,6.000000
30,tabu,139983,59,7.627119
30,final,20000020,59,7.627119
31,tabu,1,471,1.020170
31,tabu,32,295,1.628814
31,tabu,63,219,2.194064
31,tabu,94,167,2.877246
31,tabu,125,139,3.456835
31,tabu,156,131,3.667939
31,tabu,187,127,3.783465
31,tabu,404,123,3.906504
31,tabu,497,107,4.490654
31,tabu,528,103,4.665049
31,tabu,1086,99,4.853535
31,tabu,3969,95,5.057895
31,tabu,50717,91,5.280220
31,tabu,57072,83,5.789157
31,tabu,99356,79,6.082278
31,tabu,108098,71,6.767606
31,tabu,272525,67,7.171642
31,final,26000036,67,7.171642
32,tabu,1,752,0.680851
32,tabu,33,436,1.174312
32,tabu,65,256,2.000000
32,tabu,97,180,2.844444
32,tabu,193,176,2.909091
32,tabu,225,124,4.129032
32,tabu,353,108,4.740741
32,tabu,8801,84,6.095238
32,tabu,17345,80,6.400000
32,tabu,309989,76,6.736842
32,tabu,551400,64,8.000000
32,final,20000004,64,8.000000
33,tabu,1,376,1.448138
33,tabu,34,248,2.195565
33,tabu,67,196,2.778061
33,tabu,133,172,3.165698
33,tabu,166,148,3.679054
33,tabu,199,120,4.537500
33,tabu,265,108,5.041667
33,tabu,1783,100,5.445000
33,tabu,4291,96,5.671875
33,tabu,89894,92,5.918478
33,tabu,164013,88,6.187500
33,tabu,220410,80,6.806250
33,tabu,1866706,68,8.007353
33,tabu,6142482,64,8.507813
33,final,26000026,64,8.507813
34,tabu,1,457,1.264770
34,tabu,35,273,2.117216
34,tabu,69,249,2.321285
34,tabu,103,217,2.663594
34,tabu,137,169,3.420118
34,tabu,273,153,3.777778
34,tabu,341,129,4.480620
34,tabu,5441,121,4.776860
34,tabu,12683,113,5.115044
34,tabu,13669,105,5.504762
34,tabu,68749,97,5.958763
34,tabu,90951,89,6.494382
34,tabu,155892,81,7.135802
34,tabu,156062,65,8.892308
34,final,20000005,65,8.892308
35,tabu,1,573,1.068935
35,tabu,36,361,1.696676
35,tabu,71,237,2.584388
35,tabu,106,173,3.540462
35,tabu,211,169,3.624260
35,tabu,351,153,4.003268
35,tabu,386,145,4.224138
35,tabu,596,141,4.343972
35,tabu,631,137,4.470803
35,tabu,736,125,4.900000
35,tabu,6581,97,6.314433
35,tabu,596619,89,6.882022
35,tabu,682825,85,7.205882
35,tabu,1108815,81,7.561728
35,tabu,15516900,73,8.390411
35,final,26000014,73,8.390411
36,tabu,1,734,0.882834
36,tabu,37,466,1.390558
36,tabu,73,350,1.851429
36,tabu,109,250,2.592000
36,tabu,145,198,3.272727
36,tabu,181,194,3.340206
36,tabu,217,190,3.410526
36,tabu,325,186,3.483871
36,tabu,361,182,3.560440
36,tabu,397,162,4.000000
36,tabu,433,158,4.101266
36,tabu,3745,150,4.320000
36,tabu,4105,142,4.563380
36,tabu,4141,138,4.695652
36,tabu,4573,122,5.311475
36,tabu,7705,118,5.491525
36,tabu,58861,82,7.902439
36,final,20000021,82,7.902439
37,tabu,1,430,1.591860
37,tabu,38,286,2.393357
37,tabu,75,230,2.976087
37,tabu,112,186,3.680108
37,tabu,741,182,3.760989
37,tabu,852,166,4.123494
37,tabu,1074,146,4.688356
37,tabu,7031,130,5.265385
37,tabu,41108,122,5.610656
37,tabu,140972,118,5.800847
37,tabu,485113,110,6.222727
37,tabu,542389,106,6.457547
37,tabu,1244287,86,7.959302
37,final,26000001,86,7.959302
38,tabu,1,791,0.912769
38,tabu,39,463,1.559395
38,tabu,77,311,2.321543
38,tabu,115,215,3.358140
38,tabu,229,199,3.628141
38,tabu,267,167,4.323353
38,tabu,4333,159,4.540881
38,tabu,8437,151,4.781457
38,tabu,8589,143,5.048951
38,tabu,88351,135,5.348148
38,tabu,136041,119,6.067227
38,tabu,375900,111,6.504505
38,tabu,1838954,103,7.009709
38,tabu,3677643,95,7.600000
38,tabu,5004770,87,8.298851
38,final,20000008,87,8.298851
39,tabu,1,763,0.996723
39,tabu,40,479,1.587683
39,tabu,79,347,2.191643
39,tabu,118,271,2.806273
39,tabu,157,263,2.891635
39,tabu,196,239,3.182008
39,tabu,235,235,3.236170
39,tabu,313,207,3.673913
39,tabu,352,187,4.066845
39,tabu,391,175,4.345714
39,tabu,664,171,4.447368
39,tabu,3472,167,4.553892
39,tabu,8191,151,5.036424
39,tabu,11779,147,5.173469
39,tabu,16693,143,5.318182
39,tabu,37012,115,6.613043
39,tabu,1028051,111,6.851351
39,tabu,2334643,107,7.107477
39,tabu,3524312,103,7.383495
39,tabu_skew,20030004,99,7.681818
39,final,26000011,99,7.681818
40,tabu,1,1132,0.706714
40,tabu,41,672,1.190476
40,tabu,81,452,1.769912
40,tabu,121,344,2.325581
40,tabu,161,308,2.597403
40,tabu,281,280,2.857143
40,tabu,321,260,3.076923
40,tabu,401,196,4.081633
40,tabu,1081,160,5.000000
40,tabu,13601,124,6.451613
40,tabu,1487816,120,6.666667
40,tabu,6340546,116,6.896552
