artifact,battery,policy,stage,virtual_epochs,heldout_material,heldout_correct_x4096,charged_contacts,forged_instruments,revised_records,generated_world_visits,component_events,verdict
round_ar,AR3,earned_forge,checkpoint,114240,20860,2086,10967040,2741760,1371454,10967040,394813440,curve
round_ar,AR3,earned_forge,checkpoint,114432,20030,2003,10985472,2746368,1373714,10985472,395476992,curve
round_ar,AR3,earned_forge,checkpoint,114624,20340,2034,11003904,2750976,1375968,11003904,396140544,curve
round_ar,AR3,earned_forge,checkpoint,114816,19860,1986,11022336,2755584,1378326,11022336,396804096,curve
round_ar,AR3,earned_forge,checkpoint,115008,20080,2008,11040768,2760192,1380621,11040768,397467648,curve
round_ar,AR3,earned_forge,checkpoint,115200,20020,2002,11059200,2764800,1382878,11059200,398131200,curve
round_ar,AR3,earned_forge,checkpoint,115392,20450,2045,11077632,2769408,1385212,11077632,398794752,curve
round_ar,AR3,earned_forge,checkpoint,115584,20590,2059,11096064,2774016,1387545,11096064,399458304,curve
round_ar,AR3,earned_forge,checkpoint,115776,20740,2074,11114496,2778624,1389837,11114496,400121856,curve
round_ar,AR3,earned_forge,checkpoint,115968,20360,2036,11132928,2783232,1392086,11132928,400785408,curve
round_ar,AR3,earned_forge,checkpoint,116160,20540,2054,11151360,2787840,1394360,11151360,401448960,curve
round_ar,AR3,earned_forge,checkpoint,116352,19780,1978,11169792,2792448,1396695,11169792,402112512,curve
round_ar,AR3,earned_forge,checkpoint,116544,20670,2067,11188224,2797056,1399074,11188224,402776064,curve
round_ar,AR3,earned_forge,checkpoint,116736,20320,2032,11206656,2801664,1401373,11206656,403439616,curve
round_ar,AR3,earned_forge,checkpoint,116928,20700,2070,11225088,2806272,1403693,11225088,404103168,curve
round_ar,AR3,earned_forge,checkpoint,117120,20790,2079,11243520,2810880,1405949,11243520,404766720,curve
round_ar,AR3,earned_forge,checkpoint,117312,20480,2048,11261952,2815488,1408229,11261952,405430272,curve
round_ar,AR3,earned_forge,checkpoint,117504,20280,2028,11280384,2820096,1410536,11280384,406093824,curve
round_ar,AR3,earned_forge,checkpoint,117696,20100,2010,11298816,2824704,1412850,11298816,406757376,curve
round_ar,AR3,earned_forge,checkpoint,117888,19950,1995,11317248,2829312,1415087,11317248,407420928,curve
round_ar,AR3,earned_forge,checkpoint,118080,20680,2068,11335680,2833920,1417389,11335680,408084480,curve
round_ar,AR3,earned_forge,checkpoint,118272,20410,2041,11354112,2838528,1419603,11354112,408748032,curve
round_ar,AR3,earned_forge,checkpoint,118464,20110,2011,11372544,2843136,1421915,11372544,409411584,curve
round_ar,AR3,earned_forge,checkpoint,118656,20510,2051,11390976,2847744,1424269,11390976,410075136,curve
round_ar,AR3,earned_forge,checkpoint,118848,20910,2091,11409408,2852352,1426541,11409408,410738688,curve
round_ar,AR3,earned_forge,checkpoint,119040,20570,2057,11427840,2856960,1428872,11427840,411402240,curve
