attack,item,detail,depth,n_streams,L,threshold,trials,m1,m2,m3,m4,witness,note
A4_roc,n8_L64,labeled_pairs,0,8,64,0.950,12445,0.000426,0.818182,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n8_L64,labeled_pairs,0,8,64,0.970,12445,0.000000,0.418182,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n8_L64,labeled_pairs,0,8,64,0.990,12445,0.000000,0.090909,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n8_L64,labeled_pairs,0,8,64,1.000,12445,0.000000,0.018182,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n16_L64,labeled_pairs,0,16,64,0.950,12445,0.000426,0.927273,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n16_L64,labeled_pairs,0,16,64,0.970,12445,0.000000,0.400000,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n16_L64,labeled_pairs,0,16,64,0.990,12445,0.000000,0.090909,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n16_L64,labeled_pairs,0,16,64,1.000,12445,0.000000,0.000000,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n32_L64,labeled_pairs,0,32,64,0.950,12445,0.000000,0.781818,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n32_L64,labeled_pairs,0,32,64,0.970,12445,0.000000,0.400000,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n32_L64,labeled_pairs,0,32,64,0.990,12445,0.000000,0.090909,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n32_L64,labeled_pairs,0,32,64,1.000,12445,0.000000,0.000000,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n64_L64,labeled_pairs,0,64,64,0.950,12445,0.000000,0.745455,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n64_L64,labeled_pairs,0,64,64,0.970,12445,0.000000,0.418182,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n64_L64,labeled_pairs,0,64,64,0.990,12445,0.000000,0.090909,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n64_L64,labeled_pairs,0,64,64,1.000,12445,0.000000,0.000000,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n16_L128,labeled_pairs,0,16,128,0.950,12445,0.000000,0.854545,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n16_L128,labeled_pairs,0,16,128,0.970,12445,0.000000,0.490909,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n16_L128,labeled_pairs,0,16,128,0.990,12445,0.000000,0.363636,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n16_L128,labeled_pairs,0,16,128,1.000,12445,0.000000,0.000000,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n32_L128,labeled_pairs,0,32,128,0.950,12445,0.000000,0.781818,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n32_L128,labeled_pairs,0,32,128,0.970,12445,0.000000,0.490909,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n32_L128,labeled_pairs,0,32,128,0.990,12445,0.000000,0.363636,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n32_L128,labeled_pairs,0,32,128,1.000,12445,0.000000,0.000000,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n64_L128,labeled_pairs,0,64,128,0.950,12445,0.000000,0.818182,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n64_L128,labeled_pairs,0,64,128,0.970,12445,0.000000,0.490909,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n64_L128,labeled_pairs,0,64,128,0.990,12445,0.000000,0.363636,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n64_L128,labeled_pairs,0,64,128,1.000,12445,0.000000,0.000000,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_ladder,dev_k2_n8_L28,vs_gxor_chain0,1,8,28,0.950,300,0.703333,0.000000,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k2_n32_L64,vs_gxor_chain0,1,32,64,0.950,300,0.783333,0.000000,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k2_n64_L128,vs_gxor_chain0,1,64,128,0.950,300,0.930000,0.000000,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k2_n64_L256,vs_gxor_chain0,1,64,256,0.950,2000,0.987500,0.000000,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k2or3_n8_L28,vs_gxor_chain0,1,8,28,0.950,300,0.406667,0.000000,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k2or3_n32_L64,vs_gxor_chain0,1,32,64,0.950,300,0.053333,0.000000,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k2or3_n64_L128,vs_gxor_chain0,1,64,128,0.950,300,0.000000,0.000000,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k2or3_n64_L256,vs_gxor_chain0,1,64,256,0.950,2000,0.000000,0.000000,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k3_n8_L28,vs_gxor_chain0,1,8,28,0.950,300,1.000000,0.056667,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k3_n32_L64,vs_gxor_chain0,1,32,64,0.950,300,1.000000,0.000000,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k3_n64_L128,vs_gxor_chain0,1,64,128,0.950,300,1.000000,0.000000,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k3_n64_L256,vs_gxor_chain0,1,64,256,0.950,2000,1.000000,0.000000,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k4_n8_L28,vs_gxor_chain0,1,8,28,0.950,300,1.000000,0.570000,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
