protocol,stage,opaque_token,public_trace,candidate,split,example_index,correct,charged_call,detail
round_m_m4,train_query,M4-R4,3:9,bit1_one,train,4,1,187,aggregate_train_only
round_m_m4,train_query,M4-R4,3:9,bit1_one,train,5,1,188,aggregate_train_only
round_m_m4,train_query,M4-R4,3:9,bit1_one,train,6,1,189,aggregate_train_only
round_m_m4,train_query,M4-R4,3:9,bit1_one,train,7,1,190,aggregate_train_only
round_m_m4,frozen_choice,M4-R4,3:9,bit1_one,train,-1,1,191,scores=0:8;before_fresh_test
round_m_m4,baseline_padding,M4-R4,3:9,existing_menu,train,0,0,192,equal_cost_padding
round_m_m4,baseline_padding,M4-R4,3:9,existing_menu,train,1,0,193,equal_cost_padding
round_m_m4,baseline_padding,M4-R4,3:9,existing_menu,train,2,0,194,equal_cost_padding
round_m_m4,baseline_padding,M4-R4,3:9,existing_menu,train,3,0,195,equal_cost_padding
round_m_m4,baseline_padding,M4-R4,3:9,existing_menu,train,4,0,196,equal_cost_padding
round_m_m4,baseline_padding,M4-R4,3:9,existing_menu,train,5,0,197,equal_cost_padding
round_m_m4,baseline_padding,M4-R4,3:9,existing_menu,train,6,0,198,equal_cost_padding
round_m_m4,baseline_padding,M4-R4,3:9,existing_menu,train,7,0,199,equal_cost_padding
round_m_m4,baseline_padding,M4-R4,3:9,existing_menu,train,8,0,200,equal_cost_padding
round_m_m4,baseline_padding,M4-R4,3:9,existing_menu,train,9,0,201,equal_cost_padding
round_m_m4,baseline_padding,M4-R4,3:9,existing_menu,train,10,0,202,equal_cost_padding
round_m_m4,baseline_padding,M4-R4,3:9,existing_menu,train,11,0,203,equal_cost_padding
round_m_m4,baseline_padding,M4-R4,3:9,existing_menu,train,12,0,204,equal_cost_padding
round_m_m4,baseline_padding,M4-R4,3:9,existing_menu,train,13,0,205,equal_cost_padding
round_m_m4,baseline_padding,M4-R4,3:9,existing_menu,train,14,0,206,equal_cost_padding
round_m_m4,baseline_padding,M4-R4,3:9,existing_menu,train,15,0,207,equal_cost_padding
round_m_m4,baseline_padding,M4-R4,3:9,existing_menu,train,16,0,208,equal_cost_padding
round_m_m4,fresh_test,M4-R4,3:9,bit1_one,test,0,1,209,frozen_before_test
round_m_m4,baseline_test,M4-R4,3:9,existing_menu,test,0,1,210,equal_cost_control
round_m_m4,fresh_test,M4-R4,3:9,bit1_one,test,1,1,211,frozen_before_test
round_m_m4,baseline_test,M4-R4,3:9,existing_menu,test,1,0,212,equal_cost_control
round_m_m4,fresh_test,M4-R4,3:9,bit1_one,test,2,1,213,frozen_before_test
round_m_m4,baseline_test,M4-R4,3:9,existing_menu,test,2,0,214,equal_cost_control
round_m_m4,fresh_test,M4-R4,3:9,bit1_one,test,3,1,215,frozen_before_test
round_m_m4,baseline_test,M4-R4,3:9,existing_menu,test,3,1,216,equal_cost_control
round_m_m4,fresh_test,M4-R4,3:9,bit1_one,test,4,1,217,frozen_before_test
round_m_m4,baseline_test,M4-R4,3:9,existing_menu,test,4,1,218,equal_cost_control
round_m_m4,fresh_test,M4-R4,3:9,bit1_one,test,5,1,219,frozen_before_test
round_m_m4,baseline_test,M4-R4,3:9,existing_menu,test,5,0,220,equal_cost_control
round_m_m4,fresh_test,M4-R4,3:9,bit1_one,test,6,1,221,frozen_before_test
round_m_m4,baseline_test,M4-R4,3:9,existing_menu,test,6,0,222,equal_cost_control
round_m_m4,fresh_test,M4-R4,3:9,bit1_one,test,7,1,223,frozen_before_test
round_m_m4,baseline_test,M4-R4,3:9,existing_menu,test,7,1,224,equal_cost_control
round_m_m4,fresh_test,M4-R4,3:9,bit1_one,test,8,1,225,frozen_before_test
round_m_m4,baseline_test,M4-R4,3:9,existing_menu,test,8,1,226,equal_cost_control
round_m_m4,fresh_test,M4-R4,3:9,bit1_one,test,9,1,227,frozen_before_test
round_m_m4,baseline_test,M4-R4,3:9,existing_menu,test,9,0,228,equal_cost_control
round_m_m4,fresh_test,M4-R4,3:9,bit1_one,test,10,1,229,frozen_before_test
round_m_m4,baseline_test,M4-R4,3:9,existing_menu,test,10,0,230,equal_cost_control
round_m_m4,fresh_test,M4-R4,3:9,bit1_one,test,11,1,231,frozen_before_test
round_m_m4,baseline_test,M4-R4,3:9,existing_menu,test,11,1,232,equal_cost_control
round_m_m4,VERDICT,all,trace_derived,grammar,test,-1,1,0,CONTROLLED_LIMITED_POSITIVE:fresh_policy=48/48;frozen_menu=24/48;29_calls_per_arm_per_target
