iter,T,value,min_pair,best_value,best_min_pair,accepted
697,1.9886,954,26,965,17,1
698,1.9846,954,26,965,17,0
699,1.9807,954,26,965,17,1
700,1.9767,954,26,965,17,1
701,1.9728,954,26,965,17,0
702,1.9688,954,26,965,17,1
703,1.9649,954,26,965,17,1
704,1.9610,954,26,965,17,1
705,1.9571,954,26,965,17,1
706,1.9532,954,26,965,17,1
707,1.9493,954,26,965,17,1
708,1.9454,954,26,965,17,1
709,1.9415,954,26,965,17,1
710,1.9376,954,26,965,17,1
711,1.9338,954,26,965,17,1
712,1.9299,954,26,965,17,1
713,1.9260,954,26,965,17,1
714,1.9222,954,26,965,17,1
715,1.9184,954,26,965,17,1
716,1.9145,954,26,965,17,1
717,1.9107,954,26,965,17,0
718,1.9069,954,26,965,17,1
719,1.9031,954,26,965,17,0
720,1.8993,954,26,965,17,1
721,1.8955,954,26,965,17,1
722,1.8917,954,26,965,17,0
723,1.8880,954,26,965,17,1
724,1.8842,954,26,965,17,1
725,1.8804,954,26,965,17,1
726,1.8767,954,26,965,17,1
727,1.8729,954,26,965,17,1
728,1.8692,954,26,965,17,1
729,1.8655,954,26,965,17,1
730,1.8618,954,26,965,17,1
731,1.8580,954,26,965,17,1
732,1.8543,959,26,965,17,1
733,1.8506,959,26,965,17,1
734,1.8469,959,26,965,17,1
735,1.8433,959,26,965,17,0
736,1.8396,959,26,965,17,1
737,1.8359,959,26,965,17,0
738,1.8322,959,26,965,17,1
739,1.8286,959,26,965,17,1
740,1.8249,959,26,965,17,1
741,1.8213,959,26,965,17,0
742,1.8177,959,26,965,17,1
743,1.8140,959,26,965,17,1
744,1.8104,959,26,965,17,1
745,1.8068,959,26,965,17,1
746,1.8032,959,26,965,17,1
747,1.7996,959,26,965,17,1
748,1.7960,959,26,965,17,0
749,1.7924,959,26,965,17,1
750,1.7889,959,26,965,17,1
751,1.7853,959,26,965,17,1
752,1.7817,959,26,965,17,1
753,1.7782,959,26,965,17,0
754,1.7746,959,26,965,17,1
755,1.7711,959,26,965,17,1
756,1.7675,959,26,965,17,1
757,1.7640,959,26,965,17,1
758,1.7605,959,26,965,17,1
759,1.7570,959,26,965,17,1
