layer,token,stream,e0,e1,e2,e3,e4,e5
36,7,0,237,288,196,284,289,97
36,7,1,104,289,304,237,248,175
37,0,0,364,154,39,191,47,322
37,0,1,218,301,287,291,109,268
37,1,0,306,314,56,218,135,139
37,1,1,35,337,306,107,148,103
37,2,0,206,355,299,372,361,347
37,2,1,206,257,109,314,303,283
37,3,0,114,243,290,333,259,173
37,3,1,283,207,334,347,83,230
37,4,0,335,334,271,127,245,323
37,4,1,218,56,47,271,153,287
37,5,0,64,224,219,371,351,168
37,5,1,247,176,109,380,375,85
37,6,0,292,94,235,47,205,372
37,6,1,172,364,361,27,76,351
37,7,0,173,59,185,111,372,268
37,7,1,218,334,185,245,268,207
38,0,0,228,280,128,224,221,87
38,0,1,6,154,371,298,278,307
38,1,0,139,290,328,13,270,284
38,1,1,206,290,139,66,59,221
38,2,0,323,342,48,96,351,199
38,2,1,54,4,349,225,199,48
38,3,0,89,115,171,383,47,128
38,3,1,89,321,335,283,162,47
38,4,0,23,47,95,270,87,43
38,4,1,23,6,209,152,119,252
38,5,0,171,284,248,158,339,290
38,5,1,94,200,100,233,48,321
38,6,0,167,4,225,224,47,40
38,6,1,264,291,127,248,84,75
38,7,0,92,43,86,6,359,383
38,7,1,4,248,331,254,284,158
39,0,0,194,297,162,265,149,368
39,0,1,319,156,3,102,355,346
39,1,0,222,215,1,25,304,127
39,1,1,222,319,116,142,216,255
39,2,0,302,11,276,306,285,202
39,2,1,27,269,320,306,88,259
39,3,0,225,99,7,336,90,132
39,3,1,225,336,368,121,254,63
39,4,0,339,319,116,147,76,234
39,4,1,339,319,78,80,280,304
39,5,0,196,28,202,149,162,233
39,5,1,275,258,178,194,333,6
39,6,0,231,264,76,179,305,140
39,6,1,378,8,358,278,307,371
39,7,0,123,63,80,324,205,75
39,7,1,123,80,2,47,298,162
40,0,0,91,303,262,71,6,190
40,0,1,374,363,24,245,121,371
40,1,0,43,326,323,64,343,101
40,1,1,64,260,352,160,230,43
40,2,0,270,286,264,261,3,197
40,2,1,17,258,105,86,266,230
40,3,0,237,91,107,88,286,208
40,3,1,235,292,323,3,36,339
40,4,0,347,181,65,89,230,222
40,4,1,207,347,167,189,369,230
40,5,0,125,47,367,270,99,287
40,5,1,76,39,183,322,69,369
40,6,0,91,220,65,159,13,336
40,6,1,58,156,271,81,346,282
40,7,0,282,157,107,297,3,234
40,7,1,189,207,0,216,153,104
41,0,0,283,49,218,244,177,32
41,0,1,210,64,165,215,122,242
41,1,0,13,330,79,2,343,183
41,1,1,13,123,343,88,330,323
41,2,0,244,266,50,370,358,135
41,2,1,181,31,244,64,273,174
41,3,0,123,213,117,350,81,59
41,3,1,326,92,319,239,294,320
41,4,0,316,337,275,168,343,348
41,4,1,316,350,275,342,340,119
41,5,0,214,332,217,50,131,38
41,5,1,111,34,184,259,367,307
41,6,0,39,55,362,131,12,136
41,6,1,376,156,306,200,380,239
41,7,0,91,338,159,318,165,339
41,7,1,50,289,134,63,273,280
42,0,0,241,20,379,108,268,36
42,0,1,36,200,374,272,20,126
42,1,0,351,27,263,261,42,117
42,1,1,351,27,52,233,41,28
42,2,0,10,61,241,59,196,140
42,2,1,10,91,307,379,123,346
42,3,0,331,18,293,332,227,134
42,3,1,331,382,163,379,15,347
42,4,0,274,308,9,102,347,172
42,4,1,315,121,172,198,22,227
42,5,0,375,91,334,338,233,136
42,5,1,9,380,347,93,146,334
42,6,0,356,310,172,347,24,317
42,6,1,187,227,370,58,241,106
42,7,0,174,382,60,277,213,98
42,7,1,116,168,139,379,103,172
43,0,0,156,332,136,49,216,191
43,0,1,136,15,156,157,86,185
43,1,0,135,182,299,374,283,102
43,1,1,156,182,96,346,258,377
43,2,0,155,156,69,347,45,379
43,2,1,155,157,193,233,269,162
43,3,0,48,298,192,156,32,210
43,3,1,48,0,189,101,80,28
43,4,0,156,313,225,346,227,9
43,4,1,315,162,298,9,244,167
43,5,0,189,156,290,25,59,201
43,5,1,271,156,79,185,162,142
43,6,0,202,204,185,372,135,4
43,6,1,327,193,244,352,189,357
43,7,0,145,175,178,152,275,287
43,7,1,145,178,34,157,357,192
44,0,0,254,299,336,219,269,5
44,0,1,215,74,189,160,55,257
44,1,0,355,152,304,209,29,239
44,1,1,176,174,125,381,152,239
44,2,0,180,28,254,64,373,59
44,2,1,24,7,66,126,197,180
44,3,0,342,223,143,349,346,181
44,3,1,342,223,56,264,160,139
44,4,0,372,283,263,349,328,335
44,4,1,372,274,63,214,256,258
44,5,0,0,164,117,107,174,219
44,5,1,217,123,57,137,56,58
44,6,0,272,113,117,366,289,275
44,6,1,301,198,235,43,353,215
44,7,0,185,368,97,238,232,85
44,7,1,204,238,369,91,180,234
45,0,0,201,76,224,274,338,218
45,0,1,201,76,70,349,27,124
45,1,0,234,30,374,308,130,124
45,1,1,234,30,163,161,112,155
45,2,0,302,172,198,356,23,46
45,2,1,122,198,103,255,383,124
45,3,0,197,84,228,135,271,35
45,3,1,197,78,175,239,190,266
45,4,0,372,281,27,139,219,131
45,4,1,372,27,64,75,161,7
45,5,0,267,120,58,175,188,307
45,5,1,131,67,227,256,175,89
45,6,0,27,156,306,43,128,372
45,6,1,326,228,70,8,102,162
45,7,0,57,141,139,308,202,41
45,7,1,57,187,375,156,308,164
46,0,0,18,8,166,44,316,38
46,0,1,289,133,33,91,291,381
46,1,0,270,156,286,372,146,265
46,1,1,156,180,237,284,145,313
46,2,0,199,44,245,8,179,121
46,2,1,14,44,307,51,199,351
46,3,0,211,261,22,160,343,345
46,3,1,211,261,382,14,245,121
46,4,0,44,270,284,16,275,74
46,4,1,249,274,44,89,16,320
46,5,0,147,43,161,51,208,284
46,5,1,207,375,333,41,335,320
46,6,0,18,33,365,8,96,134
46,6,1,286,260,117,8,323,152
46,7,0,195,259,37,52,343,265
46,7,1,37,376,149,297,343,284
47,0,0,127,98,330,375,171,44
47,0,1,375,127,139,10,371,64
47,1,0,168,179,311,89,181,199
47,1,1,377,243,315,317,311,133
47,2,0,268,266,94,321,109,262
47,2,1,268,133,164,29,203,13
47,3,0,164,55,319,136,111,286
47,3,1,164,55,119,287,309,230
47,4,0,246,234,355,268,162,133
47,4,1,136,10,378,289,133,243
47,5,0,151,336,43,373,264,185
47,5,1,315,264,335,250,199,222
47,6,0,343,72,74,187,15,94
47,6,1,49,118,313,99,312,103
47,7,0,72,106,314,51,111,117
47,7,1,72,171,27,94,281,45
48,0,0,116,226,288,61,256,366
48,0,1,252,357,77,312,353,275
